,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
8240000,-0.04944561403508773,0.5,-0.08001565446330096,0.16618000000000005,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,373.6,571.6,514.3,385.6,420.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0,0.4117647058823529,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
8240001,0.09090526315789473,1.0,0.5866510122033657,-0.23381999999999997,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,493.2,513.1,553.1,380.6,480.0,1.0,0.5,1.0,0.3333333333333333,0,0.058823529411764705,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.4,0.5,0.2,0.5,0.6666666666666666,0.46153846153846156,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
8240002,0.10844912280701753,1.0,-0.08001565446330096,-0.03381999999999996,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,426.1,586.3,505.6,407.8,720.0,0.25,0.125,0.3333333333333333,0.16666666666666666,0,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.5,0.5,0.8,1.0,0.2,1.0,1.0,0.3076923076923077,0.4,0.125,0.5,0.6666666666666666,0.25,0.25,0.2,0.5,0.6666666666666666,0.25
8240004,-0.15470877192982457,0.5,-0.08001565446330096,-0.23381999999999997,0.11909999999999998,0.43720000000000003,-0.2954735959765298,-0.0934,377.7,461.6,422.1,435.9,420.0,0.75,0.625,0.3333333333333333,1.0,0,0.29411764705882354,0.25,0.4,0.8,0.6,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.5,0.5,1.0,1.0,0.4,1.0,1.0,0.3076923076923077,0.4,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
8240005,-0.04944561403508773,0.5,-0.08001565446330096,-0.03381999999999996,0.11909999999999998,0.43720000000000003,0.7045264040234702,-0.0934,374.8,394.2,455.4,344.2,360.0,0.25,0.25,0.16666666666666666,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.8,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.2,0.5,0.6666666666666666,0.23076923076923078,1.0,0.125,0.25,0.6666666666666666,0.5,0.5,0.2,0.5,0.6666666666666666,0.5
8240006,-0.11962105263157896,0.5,-0.08001565446330096,0.16618000000000005,0.7857666666666666,-0.06279999999999997,0.0,-0.0934,470.0,500.6,469.1,418.8,400.0,0.875,0.25,0.16666666666666666,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.75,0.75,0.2,0.25,0.3333333333333333,0.25
8240011,0.21371228070175438,0.5,-0.08001565446330096,0.16618000000000005,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,543.2,607.7,506.0,545.0,640.0,0.625,0.5,0.16666666666666666,0.16666666666666666,0,0.23529411764705882,0.25,0.6,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.6,1.0,1.0,1.0,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
8240012,-0.04944561403508773,1.0,-0.08001565446330096,0.16618000000000005,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,451.0,501.2,456.7,384.5,620.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.2,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
8240013,-0.13716491228070177,1.0,-0.08001565446330096,0.16618000000000005,0.4524333333333333,-0.06279999999999997,0.0,-0.0934,515.9,617.8,521.9,688.7,480.0,0.625,0.625,0.16666666666666666,0.3333333333333333,0,0.4117647058823529,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.5,0.75,0.2,0.25,1.0,0.5
8240015,0.33651929824561405,0.5,0.25331767887003237,-0.03381999999999996,-0.21423333333333336,-0.06279999999999997,0.0,-0.0934,508.2,586.8,561.3,630.5,560.0,0.25,0.25,0.5,0.16666666666666666,0,0.47058823529411764,0.25,0.4,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.5,1.0,0.8,1.0,0.4,1.0,1.0,0.46153846153846156,1.0,0.125,0.25,0.6666666666666666,0.5,0.25,1.0,0.75,1.0,0.25
