,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
780000,-0.04217068965517244,1.0,-0.048243772739994396,0.39038000000000006,-0.2308666666666667,-0.1642,0.0,-0.1156,553.3,602.6,486.2,498.4,640.0,0.625,0.625,0.6666666666666666,0.3333333333333333,-0.04900555555555555,0.17647058823529413,0.25,0.6,0.6,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.5,0.5,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.4,0.25,0.3333333333333333,0.25
780001,-0.11113620689655175,0.5,-0.048243772739994396,-0.20961999999999997,0.43579999999999997,-0.1642,0.0,0.8844,443.9,608.3,558.4,379.6,560.0,0.625,0.625,0.6666666666666666,0.6666666666666666,-0.1045611111111111,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
780003,-0.024929310344827618,1.0,-0.048243772739994396,-0.009619999999999962,-0.2308666666666667,-0.1642,0.0,-0.1156,408.0,429.2,481.1,348.8,480.0,1.0,0.5,1.0,0.3333333333333333,0.006550000000000006,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,1.0,0.5,0.2,1.0,1.0,0.23076923076923078,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
780004,0.044036206896551695,1.0,-0.048243772739994396,-0.20961999999999997,-0.2308666666666667,-0.1642,0.0,-0.1156,547.3,636.4,651.2,478.9,600.0,0.5,0.625,0.5,0.3333333333333333,-0.04900555555555555,0.4117647058823529,0.25,1.0,1.0,0.4,0.2,0.6,0.6,0.4,0.2,0.6,0.2,0.2,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.23076923076923078,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,1.0,0.25
780005,-0.11113620689655175,1.0,-0.048243772739994396,-0.20961999999999997,0.43579999999999997,-0.1642,0.0,0.8844,547.2,596.8,576.8,457.2,580.0,0.625,0.5,0.6666666666666666,0.3333333333333333,-0.1045611111111111,0.17647058823529413,0.25,0.6,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,1.0,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
780006,-0.0766534482758621,1.0,-0.048243772739994396,-0.009619999999999962,0.10246666666666664,0.3358,-0.06608730800323359,-0.1156,479.0,578.5,609.2,574.5,580.0,0.25,0.25,0.5,0.3333333333333333,0.11766111111111112,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
780007,-0.024929310344827618,0.5,-0.048243772739994396,0.19038000000000005,-0.2308666666666667,-0.1642,0.0,-0.1156,552.9,617.8,570.5,496.1,460.0,0.25,0.25,0.16666666666666666,0.3333333333333333,0.11766111111111112,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.6,1.0,0.5,1.0,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
780008,-0.11113620689655175,0.5,-0.048243772739994396,-0.20961999999999997,0.43579999999999997,-0.1642,0.0,0.8844,470.3,536.2,568.4,567.4,420.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.006550000000000006,0.7058823529411765,0.25,0.6,0.8,0.6,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.6,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.07692307692307693,0.6,0.125,0.25,0.6666666666666666,0.25,0.75,0.2,0.25,0.6666666666666666,0.25
780009,-0.0766534482758621,1.0,-0.048243772739994396,-0.20961999999999997,0.10246666666666664,0.3358,-0.06608730800323359,-0.1156,453.5,544.8,515.0,379.4,600.0,0.375,0.625,0.5,0.3333333333333333,-0.04900555555555555,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
780011,0.026794827586206868,1.0,-0.048243772739994396,0.19038000000000005,-0.2308666666666667,-0.1642,0.0,-0.1156,567.3,644.9,603.5,493.8,920.0,0.25,0.25,1.0,0.3333333333333333,-0.1045611111111111,0.17647058823529413,0.25,0.4,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.6,1.0,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
