,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
3060001,-0.09084444444444442,1.0,-0.039309318661545384,0.16462000000000004,0.40313333333333334,-0.11133333333333335,0.0,0.8634999999999999,393.8,462.3,434.0,356.7,0.0,0.5,0.5,0.16666666666666666,0.3333333333333333,0,0.11764705882352941,0.25,0.4,1.0,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.8,1.0,0.5,1.0,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
3060002,-0.05909841269841268,1.0,-0.039309318661545384,0.16462000000000004,0.06980000000000001,0.22199999999999998,-0.08827539195637357,-0.1365,418.9,488.5,464.4,427.6,400.0,0.625,0.5,1.0,1.0,0,0.11764705882352941,0.75,0.4,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.6,1.0,0.5,0.6,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
3060003,-0.0432253968253968,0.5,-0.039309318661545384,0.36462000000000006,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,406.7,510.7,528.5,500.1,400.0,0.125,0.25,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.2,0.4,0.5,0.5,0.4,0.5,0.2,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.5,0.25,0.2,0.25,0.3333333333333333,0.5
3060004,0.1472507936507937,1.0,0.0,-0.03537999999999997,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,620.0,726.3,634.6,493.5,920.0,0.875,0.625,0.6666666666666666,0.5,0,0.8823529411764706,0.25,0.4,0.6,0.6,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,1.0,0.6,1.0,0.6,1.0,1.0,0.38461538461538464,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3060006,-0.09084444444444442,1.0,-0.039309318661545384,-0.03537999999999997,0.40313333333333334,-0.11133333333333335,0.0,0.8634999999999999,480.3,548.6,553.2,647.4,580.0,0.5,0.625,0.3333333333333333,0.3333333333333333,0,0.4117647058823529,0.25,0.4,0.6,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.5,1.0,0.4,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
3060007,-0.0432253968253968,0.5,-0.039309318661545384,0.16462000000000004,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,571.7,484.5,441.7,586.7,520.0,0.625,0.625,0.3333333333333333,0.5,0,0.23529411764705882,0.25,0.4,0.8,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.25,1.0,0.25,0.3333333333333333,0.25
3060008,0.6393142857142857,0.5,0.29402401467178796,-0.23537999999999998,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,605.2,653.3,597.0,731.9,640.0,0.25,0.25,0.16666666666666666,0.6666666666666666,0,0.7647058823529411,0.25,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.6,0.5,1.0,0.6,1.0,0.4,1.0,1.0,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.4,0.25,1.0,0.25
3060010,0.24248888888888892,0.5,-0.039309318661545384,0.16462000000000004,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,554.6,617.7,542.9,502.0,620.0,0.375,0.625,0.16666666666666666,0.6666666666666666,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,1.0,0.07692307692307693,1.0,0.125,0.25,0.6666666666666666,0.25,0.25,0.2,0.5,1.0,0.25
3060011,-0.0432253968253968,1.0,-0.039309318661545384,0.16462000000000004,-0.26353333333333334,-0.11133333333333335,0.0,-0.1365,499.7,374.2,538.9,386.0,480.0,0.375,0.625,1.0,0.6666666666666666,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3060012,-0.07497142857142855,0.5,-0.039309318661545384,0.16462000000000004,0.06980000000000001,0.22199999999999998,-0.08827539195637357,-0.1365,484.1,573.6,444.7,551.6,360.0,0.25,0.375,0.16666666666666666,0.16666666666666666,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,1.0,0.25
