,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
4140000,-0.036157627118644044,1.0,-0.042143203715256115,0.17016,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,440.4,457.9,548.9,430.1,380.0,0.25,0.25,0.5,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.8,0.5,0.2,0.5,0.6666666666666666,0.07692307692307693,0.6,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140003,-0.08700508474576268,1.0,-0.042143203715256115,-0.22984,0.08956666666666664,0.35605,-0.10253786328284897,-0.1311,527.4,600.8,601.6,523.7,780.0,0.5,0.375,0.5,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
4140009,-0.0700559322033898,0.5,-0.042143203715256115,0.17016,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,538.5,592.6,524.6,575.2,600.0,0.875,0.625,0.6666666666666666,1.0,0,0.11764705882352941,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,1.0,1.0,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140010,-0.10395423728813556,1.0,-0.042143203715256115,-0.22984,0.4229,-0.14395000000000002,0.0,0.8689,390.7,539.9,484.8,564.5,580.0,0.625,0.625,0.3333333333333333,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,1.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.25,1.0,0.3333333333333333,0.25,0.75,0.2,1.0,0.3333333333333333,0.25
4140012,-0.0700559322033898,1.0,-0.042143203715256115,-0.22984,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,386.4,470.5,427.2,382.0,560.0,0.25,0.375,1.0,0.8333333333333334,0,0.11764705882352941,0.25,0.4,0.8,0.8,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140013,0.014689830508474604,1.0,-0.042143203715256115,-0.02984,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,438.6,528.1,357.6,489.5,400.0,0.125,0.625,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.4,0.5,0.2,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140014,0.048588135593220366,1.0,-0.042143203715256115,0.17016,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,399.9,535.2,505.4,459.2,480.0,0.625,0.375,0.5,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.4,0.5,1.0,0.7692307692307693,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140015,-0.08700508474576268,1.0,-0.042143203715256115,-0.22984,0.08956666666666664,0.35605,-0.10253786328284897,-0.1311,483.9,514.8,552.8,436.7,500.0,0.5,0.5,0.5,0.3333333333333333,0,0.29411764705882354,0.25,0.4,0.6,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.4,1.0,0.5,1.0,1.0,0.2,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
4140016,-0.0700559322033898,0.5,-0.042143203715256115,0.17016,0.08956666666666664,0.35605,-0.10253786328284897,-0.1311,465.5,505.8,485.5,559.0,420.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
4140017,-0.10395423728813556,1.0,-0.042143203715256115,-0.22984,0.08956666666666664,0.35605,-0.10253786328284897,-0.1311,532.5,636.9,619.0,530.9,620.0,0.5,0.375,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.8,0.2,0.6,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
4140018,-0.08700508474576268,1.0,-0.042143203715256115,-0.22984,0.08956666666666664,0.35605,-0.10253786328284897,-0.1311,379.7,420.9,386.7,400.8,320.0,1.0,0.5,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.8,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,1.0,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
4140019,-0.05310677966101692,0.5,-0.042143203715256115,-0.22984,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,449.0,560.4,414.8,494.3,520.0,0.625,0.75,0.6666666666666666,0.3333333333333333,0,0.29411764705882354,0.25,0.8,0.8,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.6,1.0,1.0,0.8,1.0,0.6,1.0,1.0,0.46153846153846156,0.4,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
4140020,0.23502881355932206,1.0,-0.042143203715256115,-0.22984,0.7562333333333333,-0.14395000000000002,0.0,-0.1311,425.7,533.5,425.0,393.5,260.0,0.375,0.375,0.5,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.6,1.0,0.5,0.6,0.5,0.4,1.0,1.0,0.23076923076923078,0.8,0.125,0.5,0.6666666666666666,0.75,1.0,0.2,1.0,1.0,0.25
4140021,-0.08700508474576268,1.0,-0.042143203715256115,0.17016,0.4229,-0.14395000000000002,0.0,0.8689,413.9,517.5,495.5,629.1,520.0,1.0,0.625,0.5,0.3333333333333333,0,0.17647058823529413,0.25,0.6,0.8,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,1.0,0.8,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
4140022,-0.13785254237288133,1.0,-0.042143203715256115,0.17016,0.4229,-0.14395000000000002,0.0,0.8689,519.8,445.7,484.8,387.7,440.0,0.5,0.625,0.6666666666666666,0.6666666666666666,0,0.11764705882352941,0.25,0.8,0.8,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,1.0,0.4,0.5,0.2,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
4140023,-0.002259322033898278,0.5,-0.042143203715256115,0.17016,-0.2437666666666667,-0.14395000000000002,0.0,-0.1311,485.5,583.0,543.8,438.4,600.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0,0.35294117647058826,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.6,1.0,1.0,0.8,1.0,0.4,1.0,1.0,0.46153846153846156,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
