,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
6340001,-0.15082777777777778,0.5,-0.05039287585123101,0.15910000000000002,0.4149,-0.07023333333333337,0.0,0.8538,593.7,483.1,540.1,386.5,440.0,0.375,0.5,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.6,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.6,0.5,1.0,0.8,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
6340004,-0.07675370370370371,1.0,-0.05039287585123101,-0.24089999999999998,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,387.8,438.2,508.2,428.4,520.0,0.375,0.625,0.3333333333333333,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
6340005,-0.11379074074074075,0.5,-0.05039287585123101,0.15910000000000002,0.08156666666666663,0.26309999999999995,-0.14894179894179893,-0.1462,467.7,539.2,521.8,493.2,520.0,0.625,0.625,0.6666666666666666,0.16666666666666666,0,0.6470588235294118,0.5,0.8,1.0,0.8,0.4,0.6,0.6,0.6,0.4,0.4,0.2,0.4,0.8,1.0,0.5,0.4,1.0,0.6,1.0,0.6666666666666666,0.23076923076923078,0.4,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
6340007,-0.03971666666666667,1.0,-0.05039287585123101,-0.24089999999999998,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,488.3,568.9,530.3,554.9,520.0,0.625,0.625,0.5,0.3333333333333333,0,0.35294117647058826,0.25,0.6,0.8,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.8,1.0,0.5,0.8,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.8,0.25,0.3333333333333333,0.25
6340008,-0.13230925925925927,0.5,-0.05039287585123101,0.15910000000000002,0.4149,-0.07023333333333337,0.0,0.8538,530.3,583.9,574.1,602.0,680.0,0.875,0.625,0.8333333333333334,0.3333333333333333,0,0.29411764705882354,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.8,1.0,1.0,0.8,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
6340009,-0.13230925925925927,1.0,-0.05039287585123101,-0.24089999999999998,0.4149,-0.07023333333333337,0.0,0.8538,584.5,647.5,618.3,563.1,720.0,0.625,0.625,0.5,0.5,0,1.0,0.25,0.8,0.8,0.6,0.2,0.8,0.6,0.6,0.4,0.4,0.2,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
6340010,0.0343574074074074,0.5,-0.05039287585123101,0.15910000000000002,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,479.6,497.0,464.9,468.4,440.0,0.25,0.25,0.5,0.5,0,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.6,0.5,0.5,0.6,0.5,0.2,0.5,0.6666666666666666,0.46153846153846156,0.8,0.125,0.25,1.0,0.5,0.25,0.2,0.25,1.0,0.5
6340011,-0.15082777777777778,0.5,-0.05039287585123101,-0.24089999999999998,0.4149,-0.07023333333333337,0.0,0.8538,595.9,606.7,613.0,628.2,680.0,0.75,0.625,0.6666666666666666,1.0,0,0.4117647058823529,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
6340019,-0.07675370370370371,1.0,0.28294045748210234,0.15910000000000002,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,400.2,516.0,519.5,467.6,520.0,0.25,0.625,0.6666666666666666,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,1.0,1.0,0.38461538461538464,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
6340021,-0.11379074074074075,1.0,-0.05039287585123101,0.15910000000000002,0.08156666666666663,0.26309999999999995,-0.14894179894179893,-0.1462,523.3,577.8,533.4,456.5,540.0,0.375,0.25,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.8,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
6340023,0.2195425925925926,1.0,0.0,0.15910000000000002,0.7482333333333333,-0.07023333333333337,0.0,-0.1462,464.0,506.3,551.6,625.7,440.0,0.5,0.625,0.5,0.3333333333333333,0,0.058823529411764705,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.6666666666666666,0.46153846153846156,0.8,0.125,0.25,0.3333333333333333,0.25,1.0,0.2,0.25,0.3333333333333333,0.25
6340024,-0.05823518518518519,0.5,-0.05039287585123101,-0.44089999999999996,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,377.1,580.4,512.1,387.4,500.0,0.375,0.375,0.3333333333333333,1.0,0,0.35294117647058826,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.4,1.0,1.0,0.15384615384615385,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,1.0
6340025,-0.021198148148148153,0.5,-0.05039287585123101,-0.24089999999999998,-0.2517666666666667,-0.07023333333333337,0.0,-0.1462,480.0,508.3,425.4,518.1,600.0,0.625,0.625,0.6666666666666666,1.0,0,0.29411764705882354,0.25,0.4,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.2,0.6,1.0,0.5,1.0,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.25,0.4,0.25,0.3333333333333333,0.25
