,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
7010001,0.2652431909857652,1.0,0.9259612329202415,0.16326000000000002,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,440.8,460.9,437.8,406.6,540.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.8,0.5,0.4,0.5,1.0,1.0,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.75
7010002,0.04857652431909856,0.5,-0.0740387670797585,-0.23674,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,599.3,637.1,671.3,730.5,700.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0,0.4117647058823529,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.6,1.0,1.0,0.8,1.0,0.4,1.0,1.0,0.46153846153846156,1.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
7010006,-0.051423475680901436,1.0,-0.0740387670797585,0.16326000000000002,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,415.6,440.7,496.5,418.3,520.0,0.25,0.75,0.16666666666666666,0.16666666666666666,0,0.17647058823529413,0.25,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.4,0.5,0.2,0.5,1.0,0.46153846153846156,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
7010009,-0.11809014234756811,0.5,-0.0740387670797585,-0.036739999999999995,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,511.9,584.9,510.5,440.6,560.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0,0.23529411764705882,0.25,0.4,0.6,0.4,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.8,0.25,0.6666666666666666,0.25
7010012,0.0319098576524319,0.5,-0.0740387670797585,-0.23674,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,480.1,719.9,625.5,698.4,920.0,0.5,0.625,0.6666666666666666,0.6666666666666666,0,0.8235294117647058,0.25,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.6,1.0,1.0,0.6,1.0,0.6,1.0,1.0,0.3076923076923077,1.0,0.25,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
7010017,-0.10142347568090143,1.0,-0.0740387670797585,0.16326000000000002,0.13339999999999996,0.42300000000000004,-0.13744740532959332,-0.1088,376.5,438.6,497.5,438.4,400.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,1.0,0.3333333333333333,0.25
7010018,-0.08475680901423477,0.5,-0.0740387670797585,0.16326000000000002,0.13339999999999996,0.42300000000000004,-0.13744740532959332,-0.1088,409.9,486.2,488.8,528.5,300.0,0.375,0.5,0.5,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,1.0,0.25,0.5,0.2,0.25,1.0,0.25
7010020,-0.13475680901423476,0.5,-0.0740387670797585,0.16326000000000002,0.13339999999999996,0.42300000000000004,-0.13744740532959332,-0.1088,432.2,475.2,481.3,668.6,580.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0,0.29411764705882354,0.25,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.6,0.5,0.5,0.8,0.5,0.4,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
7010022,-0.1680901423475681,0.5,-0.0740387670797585,0.16326000000000002,0.4667333333333333,-0.07699999999999996,0.0,0.8912,475.3,529.4,556.1,476.3,0.0,0.875,0.875,0.6666666666666666,0.6666666666666666,0,0.23529411764705882,0.25,0.4,0.6,0.4,0.6,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.5,1.0,0.4,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
7010026,-0.08475680901423477,0.5,-0.0740387670797585,0.16326000000000002,0.8000666666666666,-0.07699999999999996,0.0,-0.1088,480.9,479.0,511.7,454.7,560.0,0.375,0.875,0.3333333333333333,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
7010031,-0.13475680901423476,0.5,-0.0740387670797585,-0.23674,0.13339999999999996,0.42300000000000004,-0.13744740532959332,-0.1088,430.8,522.4,514.7,382.9,500.0,0.375,0.375,0.5,0.3333333333333333,0,0.29411764705882354,0.25,0.6,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.4,1.0,0.5,1.0,0.5,0.4,1.0,1.0,0.3076923076923077,1.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.6666666666666666,0.25
7010034,-0.08475680901423477,0.5,-0.0740387670797585,0.16326000000000002,-0.19993333333333338,-0.07699999999999996,0.0,-0.1088,518.7,622.5,566.2,454.2,580.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.6,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.6,1.0,1.0,1.0,0.5,0.4,1.0,0.6666666666666666,0.46153846153846156,0.4,0.25,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
7010035,-0.13475680901423476,0.5,-0.0740387670797585,-0.036739999999999995,0.13339999999999996,0.42300000000000004,-0.13744740532959332,-0.1088,492.2,420.7,487.6,446.0,520.0,0.25,0.5,0.5,0.3333333333333333,0,0.29411764705882354,0.25,0.6,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.6,1.0,1.0,1.0,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
