,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
2970001,-0.06465925925925922,1.0,-0.04739648248165074,-0.23832000000000003,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,369.7,364.0,407.1,481.7,440.0,0.375,0.625,0.5,0.3333333333333333,0,0.29411764705882354,0.25,0.4,0.8,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,1.0,0.5,0.2,1.0,0.6666666666666666,0.23076923076923078,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
2970004,-0.06465925925925922,1.0,-0.04739648248165074,0.16167999999999996,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,380.8,578.5,584.4,413.5,560.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0,0.35294117647058826,0.25,0.6,0.8,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.5,1.0,1.0,1.0,0.4,1.0,0.6666666666666666,0.3076923076923077,0.6,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
2970005,-0.08317777777777774,1.0,-0.04739648248165074,0.16167999999999996,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,421.7,576.1,590.1,720.5,560.0,1.0,0.625,0.6666666666666666,0.6666666666666666,0,0.4117647058823529,1.0,0.4,0.8,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.8,0.5,0.5,0.8,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.8,0.25,0.3333333333333333,0.25
2970006,-0.04614074074074071,1.0,-0.04739648248165074,-0.03832000000000004,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,507.8,582.4,603.1,441.1,740.0,1.0,0.375,1.0,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,1.0,0.2,0.5,1.0,0.38461538461538464,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,1.0,0.25
2970008,-0.10169629629629627,1.0,-0.04739648248165074,0.16167999999999996,0.10613333333333334,0.2371,-0.10739575137686863,-0.0985,457.3,423.8,388.4,393.4,0.0,0.25,0.625,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.8,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
2970010,-0.12021481481481479,0.5,-0.04739648248165074,-0.23832000000000003,0.43946666666666667,-0.09623333333333332,0.0,0.9015,507.5,521.9,397.0,425.4,520.0,0.75,0.75,0.6666666666666666,0.8333333333333334,0,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
2970011,-0.10169629629629627,1.0,-0.04739648248165074,-0.23832000000000003,0.10613333333333334,0.2371,-0.10739575137686863,-0.0985,535.2,458.2,556.4,377.3,600.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
2970012,0.4538592592592593,1.0,0.2859368508516826,-0.23832000000000003,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,464.4,466.2,474.8,464.1,400.0,1.0,0.25,0.16666666666666666,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.4,0.5,0.2,0.5,1.0,0.3076923076923077,0.6,0.125,0.5,0.6666666666666666,0.75,0.25,0.2,0.5,1.0,0.25
2970013,0.13904444444444447,0.5,0.0,0.16167999999999996,-0.22719999999999999,-0.09623333333333332,0.0,-0.0985,381.7,591.5,464.5,663.3,480.0,0.625,0.375,0.5,0.3333333333333333,0,0.35294117647058826,0.25,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,1.0,0.46153846153846156,1.0,0.125,0.25,0.6666666666666666,0.5,0.25,0.2,0.25,0.6666666666666666,0.5
2970014,-0.10169629629629627,0.5,-0.04739648248165074,0.16167999999999996,0.43946666666666667,-0.09623333333333332,0.0,0.9015,512.2,417.6,443.6,384.0,320.0,0.625,0.5,0.16666666666666666,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.6666666666666666,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
