,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
3430001,-0.05030714285714285,1.0,-0.03989637305699482,-0.22510000000000002,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,407.2,543.7,552.4,625.8,620.0,1.0,0.625,1.0,1.0,0,0.11764705882352941,0.25,0.4,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3430002,-0.0681642857142857,0.5,-0.03989637305699482,-0.22510000000000002,0.08349999999999998,0.5614333333333333,-0.0958049886621315,-0.1401,541.6,656.6,580.0,556.4,700.0,0.25,0.75,0.16666666666666666,0.6666666666666666,0,0.23529411764705882,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.8,0.25,0.3333333333333333,0.25
3430003,-0.08602142857142857,1.0,-0.03989637305699482,-0.22510000000000002,0.08349999999999998,0.5614333333333333,-0.0958049886621315,-0.1401,736.3,654.2,566.1,873.5,780.0,0.375,0.75,0.5,0.3333333333333333,0,0.8235294117647058,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,0.8,0.25,0.3333333333333333,0.25
3430004,-0.014592857142857138,1.0,-0.03989637305699482,-0.025100000000000032,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,554.5,609.8,626.9,449.5,680.0,0.25,0.25,1.0,0.6666666666666666,0,0.29411764705882354,0.25,0.4,0.8,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.6,1.0,1.0,0.4,1.0,0.4,1.0,0.6666666666666666,0.46153846153846156,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.6,0.25,0.3333333333333333,0.25
3430005,-0.08602142857142857,0.5,-0.03989637305699482,-0.22510000000000002,0.41683333333333333,-0.10523333333333336,0.0,0.8599,619.2,694.8,676.8,759.0,840.0,0.75,0.5,0.6666666666666666,0.3333333333333333,0,0.7058823529411765,0.25,0.6,0.8,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
3430006,0.21755,0.5,-0.03989637305699482,-0.22510000000000002,0.7501666666666665,-0.10523333333333336,0.0,-0.1401,411.7,531.3,460.8,652.0,360.0,1.0,0.625,0.16666666666666666,0.6666666666666666,0,0.23529411764705882,0.25,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.4,1.0,0.6666666666666666,0.3076923076923077,1.0,0.125,0.5,0.6666666666666666,1.0,1.0,0.2,0.5,0.6666666666666666,1.0
3430007,-0.03244999999999999,0.5,-0.03989637305699482,0.17489999999999997,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,487.3,588.9,521.8,409.9,440.0,0.375,0.625,0.5,0.5,0,0.4117647058823529,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.8,0.5,0.4,1.0,1.0,0.38461538461538464,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3430008,0.12826428571428572,0.5,-0.03989637305699482,0.17489999999999997,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,447.1,387.3,491.3,548.3,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0,0.23529411764705882,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,0.5,0.5,1.0,0.5,0.4,0.5,1.0,0.6153846153846154,0.8,0.125,0.25,0.3333333333333333,0.5,0.25,0.2,1.0,1.0,0.5
3430011,0.03897857142857143,1.0,0.0,-0.22510000000000002,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,612.3,608.0,633.5,510.3,800.0,0.625,0.875,0.3333333333333333,0.6666666666666666,0,0.29411764705882354,0.25,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,0.5,1.0,0.6,1.0,0.4,1.0,1.0,0.46153846153846156,1.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.6,0.25,0.3333333333333333,0.25
3430012,0.021121428571428576,0.5,-0.03989637305699482,-0.025100000000000032,0.08349999999999998,0.22809999999999997,0.9041950113378685,-0.1401,381.7,455.8,521.0,446.7,0.0,0.5,0.5,0.5,0.5,0,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.2,0.5,0.6666666666666666,0.46153846153846156,1.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.5,0.6666666666666666,0.25
3430013,-0.014592857142857138,0.5,-0.03989637305699482,-0.22510000000000002,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,560.1,594.0,553.9,579.7,460.0,0.375,0.25,0.6666666666666666,0.6666666666666666,0,0.23529411764705882,0.25,0.8,0.8,0.8,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,1.0,1.0,0.6,1.0,1.0,0.38461538461538464,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3430014,0.021121428571428576,1.0,-0.03989637305699482,0.17489999999999997,-0.24983333333333335,-0.10523333333333336,0.0,-0.1401,513.5,503.7,499.8,489.0,420.0,0.25,0.25,0.5,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,1.0,0.5384615384615384,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
3430016,-0.12173571428571428,1.0,-0.03989637305699482,-0.22510000000000002,0.41683333333333333,-0.10523333333333336,0.0,0.8599,624.6,692.9,703.9,686.4,620.0,0.75,0.625,0.8333333333333334,0.8333333333333334,0,0.7647058823529411,0.5,1.0,1.0,0.6,0.2,0.6,0.6,0.4,0.4,0.8,0.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
