,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
40000,-0.052639655172413806,1.0,-0.05941814595660749,-0.18359999999999999,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,474.1,516.9,514.9,550.2,520.0,0.75,0.625,0.5,0.3333333333333333,-0.03942631578947368,0.17647058823529413,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.2,1.0,1.0,0.23076923076923078,0.4,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.5
40001,-0.10436379310344829,1.0,-0.05941814595660749,-0.18359999999999999,0.18836666666666665,0.942,-0.0891521197007481,-0.0587,651.6,602.6,603.3,602.7,880.0,0.625,0.625,0.5,0.3333333333333333,0.11846842105263158,0.23529411764705882,0.25,0.4,0.8,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,1.0,0.25,0.3333333333333333,0.25
40002,0.016325862068965507,1.0,-0.05941814595660749,0.14973333333333336,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,487.6,551.3,541.6,540.8,480.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.06583684210526317,0.17647058823529413,0.25,0.6,0.8,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.4,1.0,0.4,1.0,1.0,0.7692307692307693,0.2,0.125,0.25,0.6666666666666666,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
40003,-0.10436379310344829,0.5,-0.05941814595660749,-0.18359999999999999,0.5216999999999999,-0.05800000000000005,0.0,-0.0587,544.8,608.1,562.9,434.5,540.0,0.25,1.0,0.3333333333333333,1.0,-0.03942631578947368,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,1.0,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.5,0.6666666666666666,0.5,0.75,0.2,0.25,0.3333333333333333,0.25
40004,-0.12160517241379311,0.5,-0.05941814595660749,-0.18359999999999999,0.5216999999999999,-0.05800000000000005,0.0,0.9413,606.2,638.7,556.5,608.8,580.0,0.75,0.875,0.8333333333333334,0.8333333333333334,0.06583684210526317,0.9411764705882353,1.0,1.0,1.0,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.4,1.0,0.5,1.0,0.8,1.0,0.2,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
40005,-0.03539827586206898,1.0,-0.05941814595660749,-0.016933333333333318,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,450.4,582.0,472.5,442.1,440.0,0.375,0.25,1.0,1.0,0.013205263157894742,0.23529411764705882,0.25,0.4,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,1.0,0.5,1.0,1.0,0.4,1.0,0.6666666666666666,0.46153846153846156,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
40007,-0.018156896551724148,1.0,0.2739151873767258,-0.18359999999999999,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,416.4,516.3,527.8,414.0,620.0,0.125,0.25,0.3333333333333333,0.3333333333333333,-0.03942631578947368,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,1.0,0.6,0.5,0.2,0.5,1.0,0.6923076923076923,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,1.0
40008,0.050808620689655165,0.5,-0.05941814595660749,0.14973333333333336,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,463.0,511.3,516.1,477.0,560.0,0.375,0.625,0.16666666666666666,0.3333333333333333,0.06583684210526317,0.17647058823529413,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.6666666666666666,0.46153846153846156,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
40009,-0.03539827586206898,1.0,-0.05941814595660749,-0.18359999999999999,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,476.9,568.2,549.7,483.2,560.0,0.625,0.75,0.6666666666666666,0.6666666666666666,0.013205263157894742,0.35294117647058826,0.25,0.4,0.8,0.6,0.4,0.6,0.6,0.4,0.4,0.4,0.2,0.2,0.6,0.5,0.5,1.0,0.5,0.2,0.5,0.6666666666666666,0.6153846153846154,0.8,0.5,0.25,0.3333333333333333,0.25,0.25,0.8,0.25,0.3333333333333333,0.25
40010,-0.12160517241379311,1.0,-0.05941814595660749,0.14973333333333336,0.18836666666666665,0.44199999999999995,-0.0891521197007481,-0.0587,566.5,583.1,594.9,538.1,640.0,0.75,0.5,0.3333333333333333,0.3333333333333333,0.013205263157894742,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,1.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
40012,0.10253275862068964,1.0,-0.05941814595660749,0.14973333333333336,-0.1449666666666667,-0.05800000000000005,0.0,-0.0587,393.7,516.5,542.2,411.8,580.0,0.125,0.875,0.5,0.6666666666666666,-0.03942631578947368,0.23529411764705882,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.6,1.0,0.5,0.6,0.5,0.2,0.5,0.6666666666666666,0.38461538461538464,0.2,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,1.0,0.25
