,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
2800000,-0.14392545454545455,1.0,-0.04424040066777963,-0.41719999999999996,0.07939999999999998,0.5402333333333333,-0.11277705345501954,-0.1331,579.2,659.1,648.4,642.8,680.0,0.75,0.75,0.8333333333333334,0.8333333333333334,0,0.6470588235294118,0.25,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.25,0.8,0.25,0.3333333333333333,0.25
2800002,-0.053016363636363646,0.5,-0.04424040066777963,0.18280000000000002,-0.25393333333333334,-0.12643333333333331,0.0,-0.1331,589.4,610.0,545.4,739.6,520.0,0.75,0.625,0.6666666666666666,0.3333333333333333,0,0.5294117647058824,0.25,0.6,0.8,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.5,1.0,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
2800004,-0.053016363636363646,0.5,-0.04424040066777963,0.18280000000000002,-0.25393333333333334,-0.12643333333333331,0.0,-0.1331,409.5,422.8,488.6,364.6,480.0,0.25,0.625,0.16666666666666666,0.16666666666666666,0,0.058823529411764705,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.2,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
2800006,-0.016652727272727284,0.5,-0.04424040066777963,0.18280000000000002,0.07939999999999998,0.5402333333333333,0.8872229465449805,-0.1331,407.5,519.5,516.2,469.8,600.0,0.625,0.375,0.5,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.2,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,1.0,0.75,0.3333333333333333,0.5
2800009,-0.053016363636363646,0.5,-0.04424040066777963,-0.21719999999999998,0.07939999999999998,0.2069,-0.11277705345501954,-0.1331,570.9,589.9,559.8,498.0,540.0,0.375,0.75,0.3333333333333333,0.8333333333333334,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,1.0,1.0,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.5,0.5,0.2,0.25,0.3333333333333333,0.25
2800010,-0.08938000000000001,0.5,-0.04424040066777963,-0.21719999999999998,0.07939999999999998,0.5402333333333333,-0.11277705345501954,-0.1331,569.3,489.8,442.7,451.1,540.0,0.75,0.5,0.8333333333333334,0.3333333333333333,0,0.47058823529411764,0.25,0.6,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.5,1.0,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.5,1.0,0.25,0.3333333333333333,0.25
2800011,-0.053016363636363646,0.5,-0.04424040066777963,-0.017199999999999972,0.07939999999999998,0.2069,0.8872229465449805,-0.1331,483.2,562.9,479.6,422.7,480.0,0.25,0.375,0.5,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.2,0.5,0.6666666666666666,0.3076923076923077,0.2,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.5,0.3333333333333333,0.25
2800012,0.27425636363636363,1.0,0.2890929326655537,-0.21719999999999998,-0.25393333333333334,-0.12643333333333331,0.0,-0.1331,478.9,518.0,466.9,390.7,420.0,0.125,0.125,0.16666666666666666,0.16666666666666666,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.4,1.0,1.0,0.07692307692307693,0.8,0.25,1.0,0.6666666666666666,0.5,0.25,0.6,1.0,0.6666666666666666,0.25
2800013,0.01971090909090908,1.0,-0.04424040066777963,0.18280000000000002,-0.25393333333333334,-0.12643333333333331,0.0,-0.1331,544.3,583.3,545.5,580.6,620.0,0.375,0.625,0.5,0.6666666666666666,0,0.29411764705882354,0.25,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.5,1.0,0.5,0.2,0.5,0.6666666666666666,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
2800014,-0.08938000000000001,1.0,-0.04424040066777963,0.18280000000000002,0.07939999999999998,0.5402333333333333,-0.11277705345501954,-0.1331,474.0,565.4,518.2,609.6,720.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0,0.17647058823529413,0.25,0.6,0.8,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.5,1.0,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,0.8,0.25,0.3333333333333333,0.5
