,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
8430000,0.049600041971410255,1.0,-0.08206816010192165,-0.030480000000000017,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,417.5,394.2,473.5,403.4,520.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.8,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.8,0.5,0.4,1.0,0.6666666666666666,0.6153846153846154,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,0.5
8430001,0.06599348459436108,0.5,-0.08206816010192165,-0.23048000000000002,0.8041666666666667,-0.049699999999999966,0.0,-0.0876,441.3,583.8,535.2,468.5,380.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.6,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.4,1.0,0.5,0.4,0.5,0.2,0.5,1.0,0.23076923076923078,1.0,0.125,0.25,0.3333333333333333,0.75,1.0,0.2,0.75,1.0,0.75
8430003,-0.06515405638924548,1.0,-0.08206816010192165,-0.030480000000000017,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,553.5,599.6,563.7,430.8,760.0,0.625,0.625,0.16666666666666666,0.5,0,0.17647058823529413,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.4,1.0,0.6666666666666666,0.6153846153846154,0.8,0.375,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
8430004,-0.1799081547499012,0.5,-0.08206816010192165,-0.23048000000000002,0.4708333333333334,-0.049699999999999966,0.0,0.9124,621.4,678.8,623.5,703.5,540.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0,0.7647058823529411,1.0,1.0,1.0,0.6,0.2,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.8,0.5,1.0,1.0,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
8430009,-0.0815474990121963,1.0,-0.08206816010192165,-0.030480000000000017,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,416.6,502.5,473.3,452.1,480.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0,0.17647058823529413,0.25,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,1.0,0.2,0.5,0.6666666666666666,0.3076923076923077,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,1.0,0.25
8430010,0.11517381246321354,1.0,0.2512651732314117,0.16951999999999998,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,385.4,488.0,400.5,580.0,180.0,0.125,0.25,1.0,1.0,0,0.11764705882352941,0.25,0.4,0.8,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.6,0.5,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.75,1.0,1.0,0.25,0.2,0.25,1.0,1.0
8430011,-0.09794094163514712,1.0,-0.08206816010192165,0.16951999999999998,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,391.9,418.5,483.8,361.0,380.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.8,1.0,0.4,1.0,1.0,0.38461538461538464,1.0,0.375,0.5,0.3333333333333333,0.5,0.25,0.2,0.5,1.0,0.25
8430014,-0.04876061376629466,0.5,-0.08206816010192165,0.16951999999999998,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,591.2,633.3,633.3,562.7,900.0,0.375,0.75,0.3333333333333333,0.5,0,0.29411764705882354,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.6,1.0,0.6,1.0,1.0,0.3076923076923077,0.8,0.5,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
8430015,0.26271479606977094,0.5,0.2512651732314117,0.16951999999999998,0.13750000000000004,0.45030000000000003,0.7234156820622986,-0.0876,442.6,537.7,547.4,578.3,500.0,0.375,0.5,0.3333333333333333,0.5,0,0.5294117647058824,0.25,1.0,0.8,0.4,0.2,0.6,0.6,0.4,0.4,0.4,0.2,0.4,1.0,1.0,0.5,0.8,1.0,0.4,1.0,1.0,0.07692307692307693,1.0,0.125,0.25,1.0,0.75,0.5,0.2,0.25,1.0,0.75
8430016,0.4266492222992791,1.0,-0.08206816010192165,-0.23048000000000002,-0.1958333333333333,-0.049699999999999966,0.0,-0.0876,518.7,473.1,611.8,477.0,580.0,0.625,0.125,0.6666666666666666,0.5,0,0.47058823529411764,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.8,1.0,1.0,0.6,1.0,0.4,1.0,1.0,1.0,1.0,0.125,0.25,0.3333333333333333,0.5,0.25,0.2,0.25,0.3333333333333333,0.5
