,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
1440000,-0.055524590163934434,1.0,-0.03585311675690684,-0.21532,0.07933333333333333,0.1972666666666667,-0.0657455208017006,-0.1235,572.8,568.9,524.7,551.7,620.0,0.625,0.375,0.6666666666666666,0.16666666666666666,0.0,0.35294117647058826,0.25,0.4,0.6,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.5,0.4,1.0,0.6666666666666666,0.23076923076923078,0.6,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.6666666666666666,0.25
1440002,0.10840983606557376,0.5,-0.03585311675690684,-0.21532,-0.254,-0.13606666666666664,0.0,-0.1235,433.5,385.7,468.2,357.2,400.0,0.375,0.25,0.5,0.3333333333333333,0.0,0.23529411764705882,0.25,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.5,0.8,1.0,0.4,1.0,1.0,0.5384615384615384,0.8,0.25,0.25,0.6666666666666666,0.5,0.25,0.8,0.75,1.0,0.25
1440003,0.12480327868852459,1.0,-0.03585311675690684,-0.01532,-0.254,-0.13606666666666664,0.0,-0.1235,411.0,495.0,509.9,444.7,600.0,0.25,0.375,0.16666666666666666,0.16666666666666666,0.0,0.23529411764705882,0.25,0.4,0.8,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,1.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.6666666666666666,0.25,0.25,0.2,0.25,0.6666666666666666,0.25
1440004,-0.10470491803278689,0.5,-0.03585311675690684,-0.21532,0.4126666666666667,-0.13606666666666664,0.0,0.8765000000000001,439.9,629.3,603.0,545.8,900.0,0.625,0.625,0.6666666666666666,0.6666666666666666,0.0,0.5882352941176471,0.25,0.8,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.8,0.5,1.0,1.0,1.0,0.6,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
1440005,-0.03913114754098362,0.5,-0.03585311675690684,-0.21532,-0.254,-0.13606666666666664,0.0,-0.1235,433.5,553.6,519.9,420.4,460.0,0.25,0.125,0.3333333333333333,0.3333333333333333,0.0,0.17647058823529413,1.0,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.2,0.5,1.0,0.46153846153846156,1.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
1440007,-0.08831147540983607,1.0,-0.03585311675690684,-0.21532,0.4126666666666667,-0.13606666666666664,0.0,0.8765000000000001,404.9,524.3,448.0,371.1,400.0,0.25,0.625,0.16666666666666666,0.16666666666666666,0.0,0.29411764705882354,0.25,0.4,1.0,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.8,0.5,0.2,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
1440008,-0.006344262295081974,1.0,0.0,-0.41532,-0.254,-0.13606666666666664,0.0,-0.1235,400.7,524.6,575.3,422.1,360.0,0.625,0.625,1.0,1.0,0.0,0.17647058823529413,0.25,0.4,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
1440010,-0.07191803278688526,1.0,-0.03585311675690684,-0.41532,0.4126666666666667,-0.13606666666666664,0.0,0.8765000000000001,442.2,563.0,546.2,454.8,540.0,1.0,0.625,1.0,0.3333333333333333,0.0,0.11764705882352941,0.25,0.4,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.2,0.5,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
1440011,-0.08831147540983607,0.5,-0.03585311675690684,-0.21532,0.4126666666666667,-0.13606666666666664,0.0,0.8765000000000001,486.2,538.2,509.4,595.6,500.0,0.625,0.625,0.3333333333333333,0.3333333333333333,0.0,0.4117647058823529,0.25,0.4,0.8,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.8,1.0,0.4,1.0,1.0,0.23076923076923078,0.4,0.5,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
1440012,-0.006344262295081974,0.5,-0.03585311675690684,-0.21532,-0.254,-0.13606666666666664,0.0,-0.1235,449.4,576.5,491.2,485.7,380.0,0.375,0.625,0.6666666666666666,1.0,0.0,0.29411764705882354,0.25,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.6,0.5,1.0,0.8,1.0,0.4,1.0,1.0,0.46153846153846156,1.0,0.125,0.25,0.6666666666666666,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
